student_id,Gender,Course,Section,Assignment_Score 1 (out of 40),Assignment_Score 2(out of 40),Test_Result 1 (out of 10),Test_result 2 (out of 10),Quiz_score (out of 7),Late_submission_count (0-5),Lms_login_frequency level,attendance_rate,midterm_score,weekly_self_study_hours,Study_Habit_level,class_participation,active_days_month,extracurricular_activities,final_score
CNSTU1194,Female,English,B,33,32,6,9,3,3,Low,91.51764934088317,77.07817111021419,16.2,Medium,28,13,No,62.070062664683306
CNSTU1195,Male,History,B,34,29,6,3,7,4,Medium,84.70414257762712,79.62380855674604,17.7,Medium,19,25,No,82.40474737960399
CNSTU1196,Female,Biology,C,31,31,8,4,5,5+,Medium,93.40709764954428,64.3937107655864,8.8,Low,17,17,No,77.80362201073319
CNSTU1197,Female,Chemistry,B,34,35,8,10,5,0,Low,90.15318221932601,76.84470127134634,16.1,Medium,21,18,No,83.52489954417148
CNSTU1198,Male,Computer Science,B,36,38,8,1,7,3,Medium,84.86810472764552,75.698504621352,15.4,Medium,19,27,Yes,80.23914134064661
CNSTU1199,Female,English,C,31,27,8,4,6,0,High,93.90297827896859,61.284356426032524,7,Low,14,18,No,91.64140429973844
CNSTU1200,Male ,English,B,35,33,8,6,4,1,Low,100.0,79.2934483241794,17.5,Medium,14,26,No,79.25224502647907
CNSTU1201,Male,English,B,35,33,8,2,6,3,Low,88.4727696661816,81.72941431641881,18.9,Medium,22,14,Yes,73.70594458874747
CNSTU1202,Male,Biology,A,27,40,7,8,7,0,Medium,95.75806353718545,87.99661491810332,22.6,High,13,20,Yes,79.22297503032284
CNSTU1203,Female,Economics,A,34,30,7,9,3,5+,Medium,79.65381633703069,87.64562462441884,22.4,High,13,9,Yes,83.43298029036387
CNSTU1204,Female,Economics,C,34,31,7,8,7,0,Low,82.34850898545594,58.46796758451491,5.4,Low,13,27,Yes,78.48860070325705
CNSTU1205,Male,History,C,38,39,7,4,5,1,High,93.77925022304302,63.74609952101853,8.4,Low,17,10,No,78.40591691203882
CNSTU1206,Female,Economics,B,35,34,8,5,5,3,Medium,100.0,81.18042320650392,18.6,Medium,12,6,Yes,70.98008312193245
CNSTU1207,Female,Biology,B,26,33,7,3,7,2,High,92.84490679028528,81.16543141094651,18.6,Medium,10,17,No,71.37099082449052
CNSTU1208,Male,Economics,B,22,27,6,6,6,0,High,87.49553575581477,81.18057223567257,18.6,Medium,14,17,No,63.97394728200307
CNSTU1209,Female,Chemistry,A,37,29,8,8,4,1,Low,89.99433124338684,100.0,40,High,8,23,Yes,95.4957674318694
CNSTU1210,Male ,English,B,33,31,8,9,6,1,Medium,79.99673812824226,81.850686128318,19,Medium,19,22,Yes,65.56136764608715
CNSTU1211,Male,History,A,27,37,8,9,7,3,Medium,94.83612261084293,88.62678768216719,22.9,High,14,23,Yes,71.07094802204092
CNSTU1212,Male,Biology,A,31,30,7,3,3,4,Low,97.05866449858728,86.44802116191843,21.7,High,20,5,Yes,70.81592734430802
CNSTU1213,Female,Chemistry,B,40,26,8,4,7,5+,Medium,86.38327733733536,82.81669501566958,19.6,Medium,16,12,Yes,86.94924376944441
CNSTU1214,Male,English,B,29,32,6,10,5,0,High,86.23966281792399,71.21676906431586,12.8,Medium,14,26,Yes,75.05050321707972
CNSTU1215,Female,Biology,A,26,23,6,1,5,3,Low,92.1270258372164,84.10763064591922,20.3,High,15,20,No,90.47742072673734
CNSTU1216,Female,Chemistry,C,33,29,7,4,7,0,Low,86.50624211167523,65.72609742554914,9.6,Low,18,6,No,71.26509375756132
CNSTU1217,Male,Chemistry,B,30,33,7,6,6,1,Medium,89.47093908299343,72.1581767191199,13.3,Medium,11,12,No,80.78994162223802
CNSTU1218,Male,History,C,33,29,7,2,4,3,Medium,100.0,69.17563742605076,11.6,Low,11,10,No,69.64652946740243
CNSTU1219,Male,Economics,B,24,33,7,8,6,0,Low,88.02379439403202,75.98248967263586,15.6,Medium,16,20,Yes,99.45149127773388
CNSTU1220,Female,Biology,A,28,25,7,9,7,5+,High,87.13327878383022,100.0,31.2,High,16,27,Yes,66.12401580970487
CNSTU1221,Male,Economics,C,40,35,9,8,3,0,Medium,84.81966555491873,52.592817688899025,1.9,Low,13,15,No,81.09820710227028
CNSTU1222,Female,Computer Science,B,30,26,6,4,7,1,High,95.9535357719995,83.23512228449417,19.8,Medium,16,21,No,84.33776880932099
CNSTU1223,Female,Biology,C,23,30,7,5,5,3,High,88.55020661425517,55.64740954572418,3.7,Low,16,27,No,82.13799097451498
CNSTU1224,Male,History,C,29,33,6,3,5,2,Low,84.80501569342859,69.3368176105268,11.7,Low,18,23,Yes,76.14712341122292
CNSTU1225,Female,Physics,A,33,28,7,6,7,0,Medium,100.0,88.0674071636084,22.6,High,11,15,Yes,76.70179300266574
CNSTU1226,Male ,Biology,B,34,40,7,8,6,1,Medium,100.0,75.77136022914556,15.4,Medium,10,12,Yes,78.4381147197911
CNSTU1227,Male,English,C,35,33,9,9,4,1,Low,85.19661147409036,62.06706266484832,7.5,Low,11,26,No,76.52997998371511
CNSTU1228,Male,History,C,36,40,10,9,6,3,Medium,75.06768038911507,66.41635548888038,10,Low,19,8,No,87.6387911679491
CNSTU1229,Female,Chemistry,B,33,35,8,3,7,4,High,98.06010951869538,83.1551729872161,19.8,Medium,16,15,Yes,100.0
CNSTU1230,Female,English,C,30,36,7,4,3,5+,Low,84.52296139391997,66.23560041939436,9.9,Low,17,12,Yes,72.42508214992166
CNSTU1231,Male,Biology,B,27,27,5,10,7,0,Low,96.32500479330216,77.59750307498369,16.5,Medium,20,13,No,64.30197020420923
CNSTU1232,Female,Chemistry,B,37,27,8,1,5,3,Medium,74.23916945830531,75.54686207884576,15.3,Medium,17,6,No,77.11717951648745
CNSTU1233,Female,Chemistry,C,38,31,8,4,5,0,Medium,97.14077870639447,67.1807958287302,10.4,Low,24,20,Yes,100.0
CNSTU1234,Male,English,A,36,28,8,6,7,1,Low,80.31062456575376,100.0,30,High,16,10,No,69.9632543203027
CNSTU1235,Female,Chemistry,B,24,32,8,2,6,3,High,95.8461129525322,82.60702826781613,19.4,Medium,18,25,Yes,94.39116805444067
CNSTU1236,Male ,History,C,37,40,9,8,4,0,Medium,90.11418454269148,50.69828896010871,0.8,Low,12,25,Yes,94.77700814076441
CNSTU1237,Male,Biology,B,32,32,8,9,6,5+,High,82.36848464482684,77.23745177723313,16.3,Medium,21,23,No,72.46411758292005
CNSTU1238,Male,Physics,C,29,34,8,8,7,0,High,86.74370949658575,67.05856242277935,10.4,Low,10,12,No,83.68983079185276
CNSTU1239,Female,English,A,30,37,8,4,3,1,Low,95.4905476556536,85.22920001755469,21,High,15,18,No,94.28396623128538
CNSTU1240,Male,Computer Science,C,34,37,9,5,7,3,Medium,90.84715562492187,65.48975113880759,9.5,Low,10,28,Yes,74.20872259012513
CNSTU1241,Female,Chemistry,B,31,36,9,3,5,2,Medium,94.67530384377987,73.62316270239721,14.2,Medium,12,20,No,75.96419639897638
CNSTU1242,Female,Chemistry,B,33,37,8,6,5,0,Low,100.0,81.05984734776548,18.5,Medium,17,16,No,72.18319086051356
CNSTU1243,Male,Chemistry,A,38,39,8,8,7,1,Medium,77.4860671063116,85.38906233004145,21.1,High,18,9,Yes,67.85243269307134
CNSTU1244,Male,Mathematics,C,34,40,8,9,6,1,High,100.0,60.596443115330686,6.6,Low,14,28,Yes,71.50722454933992
CNSTU1245,Male,Chemistry,B,27,29,7,9,4,3,Low,90.8348475001857,70.98598516990862,12.7,Medium,12,28,No,65.76059733237743
CNSTU1246,Female,Computer Science,C,29,28,7,3,6,4,Low,82.80972761341498,69.30065626606853,11.7,Low,16,23,Yes,78.34083468259226
CNSTU1247,Male,Economics,C,35,30,9,4,7,5+,Medium,79.35749099408808,67.16004920911546,10.4,Low,21,22,Yes,70.30026768941359
CNSTU1248,Female,Chemistry,A,31,35,7,10,3,0,Medium,88.48703687378374,96.18545088337316,27.4,High,21,13,Yes,80.33785911790747
CNSTU1249,Female,Economics,B,36,40,8,1,7,3,Low,97.37320089539567,79.85978053153147,17.8,Medium,17,6,No,62.44104353796373
CNSTU1250,Male,Physics,C,28,34,8,4,5,0,High,88.97960703697973,59.86939254797946,6.2,Low,11,29,No,81.30880232214457
CNSTU1251,Female,Mathematics,A,34,34,8,6,5,1,Medium,100.0,86.01434336465731,21.4,High,9,24,Yes,86.33528961608924
CNSTU1252,Male ,Economics,A,39,37,9,2,7,3,High,78.39059447958753,100.0,29.9,High,9,16,Yes,58.062643574285445
CNSTU1253,Male,History,A,40,33,9,8,6,0,High,89.90328841723156,87.38958312661376,22.2,High,19,6,Yes,81.74056569847572
CNSTU1254,Male,Biology,C,33,40,8,9,4,5+,Low,79.98085244469505,56.76756040855184,4.4,Low,10,14,No,90.27668992473292
CNSTU1255,Female,Mathematics,C,38,36,9,8,6,0,Medium,92.90905506099975,69.18919112560498,11.6,Low,11,5,Yes,65.90358981308795
CNSTU1256,Female,English,A,29,40,8,4,7,1,Medium,97.0950991207784,90.20293379023947,23.9,High,11,8,Yes,94.72572386837703
CNSTU1257,Male,History,C,32,29,8,5,3,3,Low,86.63390565055157,66.50796641257463,10,Low,19,29,No,82.19019009366045
CNSTU1258,Female,Biology,B,36,37,7,3,7,2,Medium,69.16628914698293,80.32583313775474,18.1,Medium,17,16,Yes,70.94988144241591
CNSTU1259,Female,Chemistry,A,34,28,7,6,5,0,High,91.59158517437196,84.29560864115204,20.4,High,17,13,No,77.44230922342294
CNSTU1260,Male,History,C,31,29,8,8,5,1,Low,93.49390841386807,63.876834341063,8.5,Low,16,8,No,83.58326912521723
CNSTU1261,Female,History,B,34,30,8,9,7,1,Low,93.23435803969357,74.2856957272584,14.6,Medium,21,13,No,78.76005391412411
CNSTU1262,Male ,Computer Science,C,36,30,9,9,6,3,Medium,99.88625753457723,40.0,0,Low,10,10,Yes,83.38755992446369
CNSTU1263,Male,English,C,34,27,7,3,4,4,Medium,81.43157056280761,62.707348303988525,7.8,Low,12,5,Yes,68.79326406920634
CNSTU1264,Male,English,B,30,26,7,4,6,5+,Low,95.4417288436036,71.96918218328207,13.2,Medium,21,14,No,79.69360824036077
CNSTU1265,Female,Chemistry,C,34,38,7,10,7,0,High,99.5400600998238,60.0266018164218,6.3,Low,16,18,Yes,63.8628550309502
CNSTU1266,Male,Computer Science,A,32,25,7,1,3,3,Medium,75.77129932794787,94.58893564717962,26.4,High,14,26,No,76.88773938651299
CNSTU1267,Female,Economics,C,34,38,9,4,7,0,High,92.55721460735182,57.8383034644724,5,Low,23,29,Yes,68.9609235853521
CNSTU1268,Female,Biology,C,32,26,8,6,5,1,High,85.96656135193862,69.7194661596362,11.9,Low,20,22,No,70.64470057410233
CNSTU1269,Male,Chemistry,B,32,26,7,2,5,3,Low,89.34781861518684,76.5688869274331,15.9,Medium,12,10,No,90.36093175210438
CNSTU1270,Male,Mathematics,A,36,31,7,8,7,0,Medium,92.78141186830669,92.29527946879338,25.1,High,17,22,Yes,88.9131012059427
CNSTU1271,Male,Economics,C,32,33,8,9,6,5+,Medium,86.10217148709158,57.769654185846726,4.9,Low,12,24,Yes,84.09138120907177
CNSTU1272,Female,Chemistry,A,37,31,8,8,4,0,Low,84.5943353667071,88.95796502585952,23.1,High,16,20,Yes,67.07687235327421
CNSTU1273,Male,Computer Science,B,38,35,9,4,6,1,Medium,90.2732193399042,75.12279673223505,15.1,Medium,19,19,Yes,74.83591550305198
CNSTU1274,Female,History,C,29,26,7,5,7,3,High,81.30203248909758,63.22189618742459,8.1,Low,17,20,No,90.13097699979184
CNSTU1275,Female,Economics,B,40,34,7,3,3,2,Low,81.31339896891852,80.54524169115925,18.2,Medium,16,12,No,79.41716913639905
CNSTU1276,Male,Economics,B,35,30,8,6,7,0,Low,95.43498626365202,77.38871634688164,16.4,Medium,12,17,Yes,100.0
CNSTU1277,Female,Biology,C,30,27,7,8,5,1,Medium,80.80964771873076,67.79739747409447,10.8,Low,12,27,Yes,81.93317839394372
CNSTU1278,Male ,Computer Science,B,27,31,7,9,5,1,Medium,95.3305000072737,75.83762501988022,15.5,Medium,15,15,No,79.92049116490031
CNSTU1279,Male,Mathematics,B,34,37,8,9,7,3,Low,93.7007303428316,70.37623683765888,12.3,Medium,25,29,Yes,74.908835357975
CNSTU1280,Male,History,B,29,35,8,3,6,4,High,76.19354616967523,76.36220814301498,15.8,Medium,12,11,Yes,79.33540904782282
CNSTU1281,Female,History,B,37,28,9,4,4,5+,Medium,84.57948278131477,82.94556809425256,19.6,Medium,12,21,Yes,76.47530163619456
CNSTU1282,Female,Economics,A,30,30,7,10,6,0,High,99.55287522437898,94.03220179374422,26.1,High,13,22,Yes,85.0810867668859
CNSTU1283,Male,Physics,C,29,33,8,1,7,3,High,82.15067575088254,60.14621401407781,6.3,Low,16,26,No,87.56702316794585
CNSTU1284,Female,Physics,A,37,33,8,4,3,0,Low,86.28476590152489,100.0,29.9,High,19,27,No,70.14010539492051
CNSTU1285,Female,English,C,34,37,9,6,7,1,Medium,93.69648714601517,51.574946405729975,1.3,Low,8,23,Yes,64.68767046442221
CNSTU1286,Male,History,B,40,38,9,2,5,3,Medium,96.26712407426076,73.178578859573,13.9,Medium,10,29,No,59.637946268967035
CNSTU1287,Female,Physics,B,32,24,6,8,5,0,Low,87.98768891164403,82.05980647781492,19.1,Medium,22,17,Yes,83.07991326912544
CNSTU1288,Male ,Computer Science,B,38,39,9,9,7,5+,Medium,85.21991844246686,78.37190241282039,17,Medium,20,19,Yes,66.96633393826127
CNSTU1289,Male,Economics,C,40,29,8,8,6,0,High,100.0,67.52760576215287,10.6,Low,17,27,Yes,56.471094070475175
CNSTU1290,Male,Mathematics,B,29,28,7,4,4,1,Low,100.0,72.5025329957127,13.5,Medium,11,26,No,81.88578604530964
CNSTU1291,Female,Physics,C,32,29,7,5,6,3,Low,97.83086440625436,69.083988784094,11.5,Low,17,26,No,100.0
CNSTU1292,Male,History,C,34,28,7,3,7,2,Medium,90.68254514052019,67.92762291666946,10.9,Low,13,5,No,77.93929088460106
CNSTU1293,Female,History,A,28,36,8,6,3,0,Medium,83.53387422687258,85.19522516425229,20.9,High,19,20,No,86.38490774451643
CNSTU1294,Female,English,B,31,29,7,8,7,1,Low,83.35644474754747,79.28418583158057,17.5,Medium,19,9,No,78.81829358547564
CNSTU1295,Male,Computer Science,C,39,38,9,9,5,1,High,94.18011284212606,66.68508485687215,10.1,Low,20,7,Yes,77.01110346808858
CNSTU1296,Male,Physics,A,31,28,7,9,5,3,Medium,93.34718576710947,85.79519850519901,21.3,High,16,27,Yes,87.19076482987768
CNSTU1297,Male,Physics,B,27,30,8,3,7,4,High,100.0,78.68759425051931,17.2,Medium,14,14,No,75.09725455811349
CNSTU1298,Female,Physics,A,31,33,8,4,6,5+,High,95.20360074028912,84.75434542606752,20.7,High,9,23,No,80.67392314071903
CNSTU1299,Male,Physics,B,29,26,7,10,4,0,Low,77.97535758592146,82.55554610308334,19.4,Medium,20,9,No,81.21697806196013
CNSTU1300,Female,Chemistry,C,26,24,5,1,6,3,Medium,98.41558094178335,65.05205986893513,9.2,Low,11,11,Yes,71.31909546356951
CNSTU1301,Female,Economics,C,31,35,8,4,7,0,Medium,82.0155149814847,68.27782751763637,11.1,Low,13,18,No,87.92042349536523
CNSTU1302,Male,English,A,29,19,5,6,3,1,Low,86.92822982438119,83.96752326147914,20.2,High,14,7,Yes,76.25040243304592
CNSTU1303,Female,Physics,B,21,34,6,2,7,3,Medium,92.00160165001355,82.32444318520157,19.3,Medium,10,17,Yes,70.44254840507155
CNSTU1304,Male ,Economics,B,29,32,7,8,5,0,High,100.0,74.74918087243022,14.9,Medium,14,17,No,83.36509843570404
CNSTU1305,Male,History,B,28,31,7,9,5,5+,Low,100.0,76.40792859970539,15.8,Medium,18,14,Yes,69.01532018208962
CNSTU1306,Male,Physics,A,29,36,7,8,7,0,Low,94.85378447308946,90.3319787494611,23.9,High,18,6,Yes,78.28181157369129
CNSTU1307,Female,Economics,C,35,32,9,4,6,1,Medium,88.5344270502369,67.90114333397004,10.9,Low,19,10,No,77.90881003355797
CNSTU1308,Female,English,B,31,31,6,5,4,3,Medium,94.2760451878444,81.56516857404046,18.8,Medium,11,12,Yes,88.85895565831578
CNSTU1309,Male,Mathematics,B,40,38,10,3,6,2,Low,97.10124340699069,72.57368817079328,13.6,Medium,16,8,No,82.74698232879953
CNSTU1310,Female,Economics,B,33,30,8,6,7,0,High,87.43465899554246,72.38782556127336,13.5,Medium,14,29,Yes,77.74973041254856
CNSTU1311,Female,Chemistry,A,32,30,8,8,3,1,Medium,100.0,88.18532222384628,22.7,High,20,16,No,86.17766299200287
CNSTU1312,Male,Physics,A,32,29,8,9,7,1,High,91.84056607353122,84.90499618785636,20.8,High,14,19,No,91.90207549017313
CNSTU1313,Female,History,A,29,28,7,9,5,3,High,93.98194471273115,84.76211563200766,20.7,High,11,12,Yes,83.57810306351863
CNSTU1314,Male ,Biology,A,25,29,7,3,5,4,Low,95.32739401643569,90.66574568585195,24.1,High,15,11,No,78.10352619843381
CNSTU1315,Male,History,B,32,37,8,4,7,5+,Medium,93.37269288491565,75.2520460995931,15.1,Medium,19,18,Yes,64.8816376764984
CNSTU1316,Male,Computer Science,B,32,30,7,10,6,0,Medium,96.71152400375689,83.18343565553957,19.8,Medium,18,27,Yes,67.34886336924627
CNSTU1317,Female,English,B,36,36,8,1,4,3,Low,85.06197450762461,71.27679892087853,12.8,Medium,15,23,No,74.94775295645333
CNSTU1318,Male,English,B,39,40,8,4,6,0,Medium,85.53358596843175,78.88999622986131,17.3,Medium,15,18,Yes,71.90487797840717
CNSTU1319,Female,Computer Science,B,35,33,8,6,7,1,High,81.19876613622644,73.43828334758778,14.1,Medium,21,26,No,76.13028697014553
CNSTU1320,Female,Chemistry,B,27,32,6,2,3,3,Low,93.51600984496181,76.16395157991262,15.7,Medium,24,17,Yes,78.56649924897107
CNSTU1321,Male,Economics,B,33,32,6,8,7,0,Low,96.23149202809691,82.14188430524297,19.2,Medium,16,25,Yes,83.2969275435673
CNSTU1322,Male,History,C,30,30,6,9,5,5+,Medium,93.66218292921509,65.18135180119833,9.3,Low,10,5,No,77.29501221940909
CNSTU1323,Male,History,A,33,37,7,8,5,0,Medium,100.0,100.0,29.6,High,9,23,Yes,82.86501643826202
CNSTU1324,Female,Computer Science,C,32,31,7,4,7,1,Low,89.95523184936762,62.92779142200358,8,Low,14,5,Yes,78.6447441481012
CNSTU1325,Male,Mathematics,C,32,29,7,5,6,3,High,95.3499332447401,60.42973664654721,6.5,Low,11,8,Yes,58.24533433646128
CNSTU1326,Female,Computer Science,A,31,21,6,3,4,2,Medium,81.26639299088549,88.89733048200081,23.1,High,14,14,Yes,68.60664606181246
CNSTU1327,Female,History,A,26,22,6,6,6,0,High,86.90320238020479,84.49995232755523,20.5,High,17,7,Yes,76.55912444278384
CNSTU1328,Male,Computer Science,B,38,29,8,8,7,1,High,95.56430206052622,82.48943780462587,19.4,Medium,15,24,Yes,65.90305257158893
CNSTU1329,Female,Biology,B,27,27,6,9,3,1,Low,96.79281688594516,82.54014611117135,19.4,Medium,12,13,Yes,83.99928729996205
CNSTU1330,Male ,History,B,31,35,8,9,7,3,Medium,87.64826441868654,74.85303872583702,14.9,Medium,11,7,Yes,93.30750832343698
CNSTU1331,Male,Physics,C,27,22,5,3,5,4,Medium,89.42720598513546,64.23294754217002,8.7,Low,12,10,No,90.18761851697317
CNSTU1332,Male,Chemistry,B,29,31,8,4,5,5+,Low,77.85701002655352,75.90965469832472,15.5,Medium,18,10,Yes,75.86557129069791
CNSTU1333,Female,English,C,38,26,7,10,7,0,Medium,87.14376639354712,66.87405946185466,10.3,Low,16,27,Yes,92.90726136849952
CNSTU1334,Female,English,A,32,25,7,1,6,3,High,97.12306530815829,86.70143680101302,21.8,High,8,29,No,79.48667457202112
CNSTU1335,Male,Biology,B,28,33,7,4,4,0,Low,94.60164012885252,73.23531142197433,14,Medium,14,16,No,74.62914028881961
CNSTU1336,Female,Mathematics,C,31,35,8,6,6,1,Low,94.00532577104968,65.09403363848986,9.2,Low,17,27,No,71.8659733645906
CNSTU1337,Female,Computer Science,B,31,39,7,2,7,3,Medium,90.39818949744767,71.14336990016407,12.8,Medium,12,5,Yes,74.97530313511872
CNSTU1338,Male,Mathematics,B,30,30,7,8,3,0,Medium,90.05650526902541,79.95517745130749,17.9,Medium,14,20,No,74.11823181458772
CNSTU1339,Female,Economics,C,32,24,8,9,7,5+,Low,84.71743088421242,68.2353053663523,11.1,Low,26,28,No,79.70416222375488
CNSTU1340,Female,Biology,C,40,35,9,8,5,0,High,95.59062736162028,65.13335525320282,9.2,Low,13,9,Yes,79.60573981049865
CNSTU1341,Male,Chemistry,B,28,35,8,4,5,1,Medium,93.36778355511512,77.92424653790295,16.7,Medium,17,13,Yes,78.03046020153414
CNSTU1342,Male,English,B,34,36,8,5,7,3,High,93.9361507839424,77.93959885330467,16.7,Medium,10,14,No,82.3693816974635
CNSTU1343,Male,Economics,C,31,32,7,3,6,2,High,85.79172125865935,68.91668189554645,11.5,Low,19,17,No,89.90646274786342
CNSTU1344,Female,Computer Science,C,36,40,9,6,4,0,Low,72.77325664103004,69.34754033258012,11.7,Low,13,19,Yes,87.49554135441323
CNSTU1345,Male,History,B,38,37,9,8,6,1,Medium,98.77722169402956,77.78459924829164,16.6,Medium,14,16,Yes,63.151020315500965
CNSTU1346,Female,Economics,C,28,34,7,9,7,1,Medium,86.16930035193276,57.62298790203211,4.9,Low,14,9,Yes,52.46078865098045
CNSTU1347,Female,Economics,C,26,24,6,9,3,3,Low,83.09779388765503,58.11043470748134,5.1,Low,15,9,Yes,87.34319911239274
CNSTU1348,Male,Physics,C,33,26,7,3,7,4,Medium,95.54783129531195,66.37866934497077,10,Low,21,22,Yes,64.33121301584579
CNSTU1349,Female,Biology,B,27,37,8,4,5,5+,High,86.86389888064696,72.43863417945784,13.5,Medium,22,16,No,75.75234598107316
CNSTU1350,Male ,Chemistry,B,31,39,8,10,5,0,Low,98.47949107237298,78.73089078717605,17.2,Medium,19,7,Yes,66.2988697394064
CNSTU1351,Male,Computer Science,A,35,36,9,1,7,3,Low,94.93604759661358,92.70427460339462,25.3,High,6,29,Yes,59.9801956241998
CNSTU1352,Male,Computer Science,A,28,33,6,4,6,0,Medium,95.46855458560383,85.29191547842423,21,High,15,11,Yes,83.41462728204787
CNSTU1353,Female,Economics,B,29,29,7,6,4,1,Medium,79.07235431039572,73.08073764043887,13.9,Medium,17,21,Yes,85.59155160302647
CNSTU1354,Female,Biology,B,30,31,7,2,6,3,Low,99.6955518830912,74.77180550516773,14.9,Medium,25,23,Yes,72.2348959927328
CNSTU1355,Male,English,C,40,36,9,8,7,0,High,92.09000424987084,62.969647624346294,8,Low,10,22,No,52.0895770785509
CNSTU1356,Female,English,B,30,33,7,9,3,5+,Medium,87.04578288603038,74.77784236809133,14.9,Medium,17,5,Yes,72.53755551747517
CNSTU1357,Female,Computer Science,B,30,33,8,8,7,0,High,91.14710773873801,71.53609633295834,13,Medium,14,29,No,81.91804005402547
CNSTU1358,Male,English,B,37,40,8,4,5,1,High,75.79011813681345,78.87262272405707,17.3,Medium,8,28,Yes,63.21088431225871
CNSTU1359,Female,Biology,C,29,35,7,5,5,3,Low,93.26922249184537,65.07322867737213,9.2,Low,15,9,No,79.83359919779156
CNSTU1360,Male ,Economics,B,40,35,8,3,7,2,Medium,81.76502793454343,81.23215817089407,18.6,Medium,15,6,No,77.84690150827005
CNSTU1361,Male,Mathematics,A,23,27,6,6,6,0,Medium,79.17863771325173,93.39286695603093,25.7,High,17,5,Yes,83.79291499601088
CNSTU1362,Male,Biology,B,31,39,8,8,4,1,Low,77.82112651025687,73.69487821851772,14.2,Medium,20,11,Yes,79.19580368414154
CNSTU1363,Female,English,B,38,29,7,9,6,1,Medium,98.9015069999194,79.8205406651873,17.8,Medium,15,15,Yes,68.26931059118445
CNSTU1364,Male,Chemistry,B,36,28,6,9,7,3,High,84.96589285045769,83.28172790053335,19.8,Medium,16,15,Yes,89.96571501664491
CNSTU1365,Female,Chemistry,B,31,33,7,3,3,4,Low,100.0,70.18535433736997,12.2,Medium,14,22,Yes,76.4147042697303
CNSTU1366,Female,Computer Science,B,39,39,9,4,7,5+,Low,85.71358829558162,77.689109781725,16.6,Medium,10,21,No,77.72695460490068
CNSTU1367,Male,Physics,B,36,29,7,10,5,0,Medium,76.34113633925642,75.15110880938154,15.1,Medium,15,6,Yes,68.66732040926804
CNSTU1368,Male,English,B,36,28,6,1,5,3,Medium,81.06780448041073,76.17211318258597,15.7,Medium,14,11,Yes,73.5671774880849
CNSTU1369,Male,English,C,24,21,6,4,7,0,Low,99.8864929600555,65.7238825937344,9.6,Low,20,11,No,69.15197285973099
CNSTU1370,Female,History,B,31,35,8,6,6,1,High,88.75281457650667,75.29412209110731,15.2,Medium,9,14,Yes,76.27053940076577
CNSTU1371,Male,Biology,B,33,24,7,2,4,3,Medium,85.61370162807519,80.97597949494539,18.5,Medium,20,26,No,95.11708480142343
CNSTU1372,Female,Mathematics,A,37,29,9,8,6,0,High,91.2801458068223,92.4137232935405,25.2,High,18,25,Yes,64.28098857068643
CNSTU1373,Female,Physics,A,31,31,7,9,7,5+,High,94.01426188934036,86.51124991302248,21.7,High,16,7,No,61.86438602123259
CNSTU1374,Male,Mathematics,A,23,29,7,8,3,0,Low,98.9391905272197,100.0,30.1,High,19,16,Yes,92.71170327493608
CNSTU1375,Female,Biology,C,33,27,7,4,7,1,Medium,100.0,65.79182924534341,9.6,Low,17,7,No,75.90676322848134
CNSTU1376,Male ,Biology,A,27,24,6,5,5,3,Medium,87.12185083368732,85.46784764064813,21.1,High,10,15,No,71.30927261340084
CNSTU1377,Male,Chemistry,B,29,27,7,3,5,2,Low,79.3916185113437,77.20010406886023,16.3,Medium,16,16,Yes,88.39904687396077
CNSTU1378,Male,Economics,A,36,28,8,6,7,0,Medium,86.69227871101378,100.0,30.3,High,14,29,Yes,71.94384460263136
CNSTU1379,Female,Chemistry,C,32,32,7,8,6,1,High,92.08224405266309,65.30042057573819,9.3,Low,17,8,Yes,96.26009713546937
CNSTU1380,Female,Computer Science,C,30,35,7,9,4,1,Low,82.28992859031511,64.92333789383069,9.1,Low,9,29,No,84.7792587133927
CNSTU1381,Male,Chemistry,C,30,32,7,9,6,3,Low,82.34279268083965,67.80728825467173,10.8,Low,15,20,No,73.12088591854297
CNSTU1382,Female,Biology,C,28,36,7,3,7,4,Medium,92.75030305239909,49.51325130828232,0.1,Low,20,24,No,99.57308213265503
CNSTU1383,Female,Economics,C,32,35,7,4,3,5+,Medium,89.61078118743639,68.69093973983087,11.3,Low,15,22,Yes,71.94285076996661
CNSTU1384,Male,Economics,C,38,36,9,10,7,0,Low,90.2623759632927,65.89040806135563,9.7,Low,14,8,Yes,85.42095372009307
CNSTU1385,Female,Economics,B,30,30,7,1,5,3,High,83.93203732239944,76.8047254377145,16.1,Medium,15,26,No,80.99292580406492
CNSTU1386,Male ,History,B,36,30,7,4,5,0,Medium,88.15679428635386,79.10107170932591,17.4,Medium,12,10,Yes,91.01741289398798
CNSTU1387,Male,Chemistry,A,40,34,9,6,7,1,High,82.60613484585356,97.51405007059063,28.1,High,15,25,No,93.61511196726853
CNSTU1388,Male,Biology,A,35,33,7,2,6,3,High,97.1215872889983,86.4050860582326,21.7,High,9,19,Yes,78.32004149065767
CNSTU1389,Female,Physics,C,25,29,5,8,4,0,Low,98.28199467779002,68.07715613205116,11,Low,23,5,Yes,70.46582129653817
CNSTU1390,Male,Biology,C,29,32,7,9,6,5+,Medium,75.23049710209526,64.2190239438197,8.7,Low,11,7,No,82.59972142939117
